time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.133188130522423e-07,-5.633890355634546e-09,10.003363342492166,6.282805746824472,6.282652317021814,0.0,8.106114661475728e-08,-1.505655665828235e-05,0.11210623507001313,-0.023632472602150147,-0.039946418612097336,0.0,441.57669900910923,438.2696304691517,442.49461529051956,440.5452945488834
0.12000000000000001,2.1100198875515907e-05,-1.4526486723442232e-05,10.01435246355604,6.281767392575867,6.280062031821847,0.0,0.0009859092609397898,-0.0005993923474425049,0.2541756510284606,-0.006967786963176819,-0.050557657112866215,0.0,449.78485236738874,448.9237645743963,450.12009354552544,451.4665059338444
0.18,0.0001522793530790575,-7.967770094541968e-05,10.031469653350014,6.280958757735132,6.2768837944607725,0.0,0.003685635630212845,-0.0016265811610696082,0.3163803223163865,-0.03151804888751671,-0.05829322936835609,0.0,424.6139581768226,423.9479242042088,426.4097161085169,424.3076820195302
0.23999999999999996,0.0005282791906626095,-0.00023474111156538845,10.055167626137237,6.279241472414871,6.273857307183672,0.0,0.009203931918116056,-0.0037407522838467083,0.4734963030213091,-0.023380838418908423,-0.038130591611627476,0.0,454.4119405065173,456.02342607347276,454.0488662699336,454.7008883658157
0.3,0.0012341799494175354,-0.0005255239718042759,10.081689259963932,6.277518785751784,6.271738416540547,0.0,0.014497527315062682,-0.0060714821822024576,0.41058136967406256,-0.042377690477893824,-0.030207684392375138,0.0,381.86580417331095,382.61993850713657,382.6127722165893,380.79968673016964
0.36000000000000004,0.0023950397978834315,-0.0010414563466019102,10.113356854245984,6.2747895078907625,6.269612194285859,0.0,0.024433120788524554,-0.011445876366177953,0.6448970035871279,-0.052572521885350325,-0.048761693076936195,0.0,478.0883603172265,476.672282521425,478.71490277929513,477.93756855984657
0.4200000000000001,0.0041299930061813135,-0.0018992044643210435,10.153441685601434,6.2717210889173,6.266539869349316,0.0,0.033679839915582696,-0.01743797352262332,0.6912298063048153,-0.04842057828117383,-0.05660336029334749,0.0,420.20530148167074,419.52319929081455,419.95799653266783,420.31608324714415
0.48000000000000015,0.006567916620999359,-0.0032351598131912713,10.201400462389342,6.268918541374891,6.262785885345819,0.0,0.04800302347465375,-0.027431917216912873,0.9072373971737674,-0.04348987348694386,-0.07847026049121406,0.0,473.90127699978285,472.21495477493886,472.45265268903654,472.8314462598745
0.5400000000000001,0.009957094505740434,-0.005234326162548316,10.262137640106669,6.265835717813953,6.2586091654924125,0.0,0.06548611591818711,-0.03953037234399209,1.1171366092803767,-0.07591416812882416,-0.05608085975043304,0.0,471.55511218405275,473.27769977995655,471.66054136596364,469.148150554139
0.6000000000000002,0.014472657511216024,-0.008030186241418798,10.334809840122348,6.261219043741239,6.255883122617913,0.0,0.08537124441042969,-0.05418857363680174,1.3050545274153462,-0.07908806434693101,-0.02987084232483221,0.0,464.0272615497985,466.07871587843573,465.7255202970832,465.47283278179725
0.6600000000000003,0.020144256809985606,-0.011735745323000158,10.415330621973352,6.256219915820996,6.25419377195348,0.0,0.10384999664472264,-0.0698043922467753,1.378867779384395,-0.09350632815864321,-0.02492982654095454,0.0,431.007130232877,431.4242369231659,430.14165174694875,428.9129662374151
0.7200000000000003,0.026947957810412062,-0.016471964657235667,10.499961766602812,6.250394423274674,6.252478228231023,0.0,0.12309118023042619,-0.08861826932971674,1.4420702493086275,-0.1054431684089057,-0.03716330681872814,0.0,427.7485764368181,426.70531154759993,427.61872074976196,426.5921767473605
0.7800000000000004,0.03494237016895902,-0.022453423269170623,10.588385700584245,6.243584957481833,6.250206375866124,0.0,0.14360353525096994,-0.11138592723393592,1.5052815955297505,-0.13888591150087995,-0.039303833489560826,0.0,428.67143781490705,428.4887754935575,427.65338128590145,424.78253459071215
0.8400000000000004,0.04429324496459079,-0.030041115647555065,10.68301379810462,6.23520174958934,6.247800558799426,0.0,0.16834341001227246,-0.142434943566832,1.648740916719777,-0.14144101283112315,-0.04173188797298518,0.0,453.02708928781146,452.8310363403355,453.26992345655844,453.04682478775476
0.9000000000000005,0.05508741945658431,-0.039545822663684074,10.783608302265208,6.226879372077104,6.244979405698247,0.0,0.19171009123834973,-0.17518570497328062,1.704272870036622,-0.13373731115207896,-0.06053637896898543,0.0,426.77016471286487,425.1606580034622,425.1411928236238,425.78187161257796
0.9600000000000005,0.06741717266047302,-0.05128640990644959,10.889451144148428,6.218768492808625,6.24121503877584,0.0,0.21966139010198035,-0.21700160566828122,1.8235659540819344,-0.1382345455611308,-0.06755376282923382,0.0,446.3461892667796,445.7703130949954,446.95724750974455,446.5738110739861
1.0200000000000005,0.08134016944802926,-0.06545426428756515,10.998576862757814,6.210228472988614,6.237064778750671,0.0,0.2447901913421532,-0.25598119650113815,1.8139013394851542,-0.15212990719094374,-0.07261734920235535,0.0,404.51620090574534,404.05582813409234,405.76749678252,404.49696618608505
1.0800000000000005,0.09705834212300224,-0.0824526797426266,11.111666211607924,6.200851202092824,6.232818033949659,0.0,0.27960230819803056,-0.31161263950661205,1.9553999363140617,-0.166253810613377,-0.0673368029943286,0.0,455.2341258538201,455.6527234326502,453.1936286558397,452.03417281253337
1.1400000000000006,0.1151439306380573,-0.10330441709200928,11.236861721869966,6.191003873244895,6.228622328079066,0.0,0.3237434352803409,-0.38465074632231055,2.2171574608694957,-0.16017253993027328,-0.07569026001731909,0.0,489.36737161726654,488.74194771863927,491.4877508918482,491.91535572905684
